id,code,name,category,line_id,unit,ideal_cycle_time_seconds,created_at,updated_at
b0fe7d40-daa6-5dd5-8ff7-1a8e35c314c5,BRK-DISC,Brake Disc,Braking,0a488a58-f45d-550b-8e16-feb5d935622d,units,42.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
3e422a3b-8a18-58de-80f2-7d0f5a98c795,BRK-DRUM,Brake Drum,Braking,0a488a58-f45d-550b-8e16-feb5d935622d,units,55.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
f6b2ea38-8cba-5b62-853a-49146b84803f,DRV-SHAFT,Drive Shaft,Drivetrain,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,units,78.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
7640fa0b-d04b-51f5-bbfa-15e8edf8d6a0,CVJ-HOUSING,CV Joint Housing,Drivetrain,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,units,64.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
aba05b6d-bbfa-55c8-91ea-89d87edd3cee,GER-BLANK,Gear Blank,Drivetrain,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,units,36.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
ec5b37ce-5d28-5863-ab9e-a0ccf1849798,TRN-SHAFT,Transmission Shaft,Drivetrain,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,units,88.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
7a7a3fdb-6391-53f9-8bd9-df3407629f76,STR-KNUCKLE,Steering Knuckle,Steering,d0d1c5ae-5804-564b-93f3-4f8197e88acc,units,96.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
dbfc2058-2059-5d59-9e31-d733ab494bb2,WHL-HUB,Wheel Hub,Steering,d0d1c5ae-5804-564b-93f3-4f8197e88acc,units,58.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
ddfaa455-1f92-559f-8e2e-2e4b0733758a,SUS-CTRLARM,Control Arm,Suspension,d84a9ec1-7b28-54f4-a4a8-a9177fa53327,units,71.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
274c3d65-43dd-5c12-a6d1-7f5e1027d70c,SUS-BRACKET,Suspension Bracket,Suspension,d84a9ec1-7b28-54f4-a4a8-a9177fa53327,units,33.0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
