id,record_date,shift_id,machine_id,line_id,component_id,started_at,ended_at,planned_quantity,produced_quantity,accepted_quantity,rejected_quantity,planned_minutes,operating_minutes,downtime_minutes,created_at,updated_at
50977819-f37c-50e4-ab6e-0f07868221a1,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,872d4ca8-5087-5d68-a59d-17df9ca838a8,0a488a58-f45d-550b-8e16-feb5d935622d,b0fe7d40-daa6-5dd5-8ff7-1a8e35c314c5,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,583,581,569,12,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
c915b535-ab87-541d-9d90-34a97ef4b1ad,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,fc549f07-c9f7-536f-b576-3bb39733470e,0a488a58-f45d-550b-8e16-feb5d935622d,3e422a3b-8a18-58de-80f2-7d0f5a98c795,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,442,408,395,13,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
11fed7e5-3924-5adf-8b29-4aacbd98d2d2,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,732244c8-4e7c-5339-ae77-f451ab324857,0a488a58-f45d-550b-8e16-feb5d935622d,3e422a3b-8a18-58de-80f2-7d0f5a98c795,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,442,379,371,8,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
ac126e36-d828-5d62-a0ce-101139f7a063,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,b9fc1d56-710a-57da-8350-d1e2808446d6,0a488a58-f45d-550b-8e16-feb5d935622d,3e422a3b-8a18-58de-80f2-7d0f5a98c795,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,442,429,421,8,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
2ddd80fd-00b7-583d-86fb-6be03f7c35d2,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,2c17ec1a-308d-5986-97de-e4ec4209bda2,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,7640fa0b-d04b-51f5-bbfa-15e8edf8d6a0,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,376,379,370,9,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
ac8742dc-caf9-5558-b46e-cbbdf1eff10c,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,a6a62444-5faf-5231-b950-8609aeccfe05,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,7640fa0b-d04b-51f5-bbfa-15e8edf8d6a0,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,376,346,337,9,450,421,29,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
7fb929df-cad1-5fda-b693-0624ee5128fe,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,b0779bdc-52ba-5df5-aa12-69c43b81d58c,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,ec5b37ce-5d28-5863-ab9e-a0ccf1849798,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,273,227,222,5,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
e2a320de-c67b-51d2-a60a-6dacbfa4b92d,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,d4aaaa0f-187a-5329-8085-b81c722f3da0,fbe9013d-4e1e-50bd-9c47-83a3bf63b435,aba05b6d-bbfa-55c8-91ea-89d87edd3cee,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,677,703,690,13,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
e953c4ce-a88b-5b90-85d8-ad227dbc4300,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,8060afd2-cbf7-5fd4-8032-753cbe979e11,d0d1c5ae-5804-564b-93f3-4f8197e88acc,dbfc2058-2059-5d59-9e31-d733ab494bb2,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,414,363,356,7,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
97cb844c-ff87-5c5f-a399-8f024d83e1e7,2026-06-09,36a74a87-f511-5934-a124-0b60c5db096d,fcb95d61-dbd4-50e9-ae34-a972811f6987,d0d1c5ae-5804-564b-93f3-4f8197e88acc,dbfc2058-2059-5d59-9e31-d733ab494bb2,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,414,357,347,10,450,450,0,2026-09-06T09:02:29.920757+00:00,2026-09-06T09:02:59.286744+00:00
